tkr,cdate,cp
SPY,2016-04-15,207.779999
SPY,2016-04-14,208.009995
SPY,2016-04-13,208.00
SPY,2016-04-12,205.919998
SPY,2016-04-11,204.020004
SPY,2016-04-08,204.50
SPY,2016-04-07,203.949997
SPY,2016-04-06,206.419998
SPY,2016-04-05,204.190002
SPY,2016-04-04,206.25
SPY,2016-04-01,206.919998
SPY,2016-03-31,205.520004
SPY,2016-03-30,206.020004
SPY,2016-03-29,205.119995
SPY,2016-03-28,203.240005
SPY,2016-03-24,203.119995
SPY,2016-03-23,203.210007
SPY,2016-03-22,204.559998
SPY,2016-03-21,204.669998
SPY,2016-03-18,204.380005
SPY,2016-03-17,204.630005
SPY,2016-03-16,203.339996
SPY,2016-03-15,202.169998
SPY,2016-03-14,202.50
SPY,2016-03-11,202.759995
SPY,2016-03-10,199.539993
SPY,2016-03-09,199.380005
SPY,2016-03-08,198.399994
SPY,2016-03-07,200.589996
SPY,2016-03-04,200.429993
SPY,2016-03-03,199.779999
SPY,2016-03-02,199.00
SPY,2016-03-01,198.110001
SPY,2016-02-29,193.559998
SPY,2016-02-26,195.089996
SPY,2016-02-25,195.539993
SPY,2016-02-24,193.199997
SPY,2016-02-23,192.320007
SPY,2016-02-22,194.779999
SPY,2016-02-19,192.00
SPY,2016-02-18,192.089996
SPY,2016-02-17,192.880005
SPY,2016-02-16,189.779999
SPY,2016-02-12,186.630005
SPY,2016-02-11,182.860001
SPY,2016-02-10,185.270004
SPY,2016-02-09,185.429993
SPY,2016-02-08,185.419998
SPY,2016-02-05,187.949997
SPY,2016-02-04,191.600006
SPY,2016-02-03,191.300003
SPY,2016-02-02,190.160004
SPY,2016-02-01,193.649994
SPY,2016-01-29,193.720001
SPY,2016-01-28,189.110001
SPY,2016-01-27,188.130005
SPY,2016-01-26,190.199997
SPY,2016-01-25,187.639999
SPY,2016-01-22,190.520004
SPY,2016-01-21,186.690002
SPY,2016-01-20,185.649994
SPY,2016-01-19,188.059998
SPY,2016-01-15,187.809998
SPY,2016-01-14,191.929993
SPY,2016-01-13,188.830002
SPY,2016-01-12,193.660004
SPY,2016-01-11,192.110001
SPY,2016-01-08,191.919998
SPY,2016-01-07,194.050003
SPY,2016-01-06,198.820007
SPY,2016-01-05,201.360001
SPY,2016-01-04,201.020004
SPY,2015-12-31,203.869995
SPY,2015-12-30,205.929993
SPY,2015-12-29,207.399994
SPY,2015-12-28,205.210007
SPY,2015-12-24,205.679993
SPY,2015-12-23,206.020004
SPY,2015-12-22,203.50
SPY,2015-12-21,201.669998
SPY,2015-12-18,200.020004
SPY,2015-12-17,204.860001
SPY,2015-12-16,208.029999
SPY,2015-12-15,205.029999
SPY,2015-12-14,202.899994
SPY,2015-12-11,201.880005
SPY,2015-12-10,205.869995
SPY,2015-12-09,205.339996
SPY,2015-12-08,206.949997
SPY,2015-12-07,208.350006
SPY,2015-12-04,209.619995
SPY,2015-12-03,205.610001
SPY,2015-12-02,208.529999
SPY,2015-12-01,210.679993
SPY,2015-11-30,208.690002
SPY,2015-11-27,209.559998
SPY,2015-11-25,209.320007
SPY,2015-11-24,209.350006
SPY,2015-11-23,209.070007
SPY,2015-11-20,209.309998
SPY,2015-11-19,208.550003
SPY,2015-11-18,208.729996
SPY,2015-11-17,205.470001
SPY,2015-11-16,205.619995
SPY,2015-11-13,202.539993
